"filename", "language", "Python", "Properties", "MS SQL", "pip requirements", "Batch", "PowerShell", "CSS", "JavaScript", "HTML", "SCSS", "XML", "Markdown", "reStructuredText", "YAML", "JSON", "Ruby", "TypeScript", "Less", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\.github\ISSUE_TEMPLATE\bug-report-for-adminlte-v2-4-x.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\.github\ISSUE_TEMPLATE\bug-report-for-adminlte-v3-x.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\.github\ISSUE_TEMPLATE\feature-request-for-adminlte-v3-x.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 30, 116
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\adminlte.css", "CSS", 0, 0, 0, 0, 0, 0, 25927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 5148, 31096
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 12
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.components.css", "CSS", 0, 0, 0, 0, 0, 0, 4145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1055, 5208
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.components.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.core.css", "CSS", 0, 0, 0, 0, 0, 0, 14740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2523, 17277
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.core.min.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 13
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.extra-components.css", "CSS", 0, 0, 0, 0, 0, 0, 869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 182, 1059
